date,total_sales,average_sales,total_onpromotion,positive_sales_series
2013-01-01,2511.619,1.4094383,0,17
2013-01-02,496092.4,278.3908,0,864
2013-01-03,361461.22,202.8402,0,851
2013-01-04,354459.7,198.91116,0,859
2013-01-05,477350.12,267.87326,0,877
2013-01-06,519695.4,291.63602,0,830
2013-01-07,336122.8,188.62111,0,849
2013-01-08,318347.78,178.64635,0,854
2013-01-09,302530.8,169.77037,0,856
2013-01-10,258982.0,145.33221,0,858
2013-01-11,289737.7,162.5913,0,850
2013-01-12,403258.22,226.2953,0,873
2013-01-13,464638.56,260.73993,0,831
2013-01-14,293348.38,164.6175,0,841
2013-01-15,299129.56,167.86171,0,855
2013-01-16,318347.9,178.64641,0,838
2013-01-17,267498.53,150.1114,0,855
2013-01-18,296130.84,166.17892,0,855
2013-01-19,432459.84,242.6823,0,871
2013-01-20,461092.38,258.74994,0,826
2013-01-21,311211.28,174.64157,0,839
2013-01-22,296214.72,166.226,0,843
2013-01-23,283258.47,158.95537,0,843
2013-01-24,247245.69,138.74617,0,840
2013-01-25,290022.78,162.75128,0,846
2013-01-26,413799.78,232.21088,0,867
2013-01-27,430412.0,241.53311,0,812
2013-01-28,285460.16,160.19089,0,839
2013-01-29,264488.8,148.42245,0,848
2013-01-30,281061.12,157.72229,0,846
2013-01-31,271254.22,152.21898,0,849
2013-02-01,369402.06,207.29633,0,867
2013-02-02,518887.47,291.18265,0,873
2013-02-03,486336.8,272.9163,0,828
2013-02-04,344308.72,193.21477,0,865
2013-02-05,321245.84,180.27264,0,846
2013-02-06,321538.2,180.43669,0,845
2013-02-07,290807.53,163.19165,0,848
2013-02-08,347441.78,194.97295,0,855
2013-02-09,416176.28,233.5445,0,869
2013-02-10,300951.34,168.88403,0,861
2013-02-11,278627.6,156.35667,0,850
2013-02-12,308800.78,173.28888,0,860
2013-02-13,319597.94,179.34789,0,856
2013-02-14,308164.03,172.93155,0,851
2013-02-15,320168.88,179.66827,0,842
2013-02-16,485660.5,272.53674,0,822
2013-02-17,399588.9,224.2362,0,814
2013-02-18,350745.56,196.82692,0,853
2013-02-19,293637.8,164.77992,0,855
2013-02-20,313803.16,176.09605,0,859
2013-02-21,267711.1,150.2307,0,846
2013-02-22,285679.88,160.31418,0,849
2013-02-23,412897.34,231.70445,0,862
2013-02-24,452726.12,254.05507,0,824
2013-02-25,307110.88,172.34056,0,851
2013-02-26,270425.0,151.75365,0,848
2013-02-27,288402.0,161.84175,0,851
2013-02-28,278116.28,156.06975,0,858
2013-03-01,378898.16,212.62523,0,875
2013-03-02,547857.2,307.4395,0,884
2013-03-03,559820.56,314.15295,0,836
2013-03-04,383647.7,215.29051,0,864
2013-03-05,332190.0,186.41414,0,872
2013-03-06,335726.6,188.39876,0,876
2013-03-07,293099.53,164.47784,0,853
2013-03-08,316600.7,177.66592,0,865
2013-03-09,453259.5,254.35437,0,893
2013-03-10,461859.75,259.18054,0,838
2013-03-11,318379.12,178.66393,0,856
2013-03-12,271823.38,152.53838,0,865
2013-03-13,287869.66,161.54301,0,857
2013-03-14,247541.42,138.91214,0,861
2013-03-15,315878.1,177.26044,0,866
2013-03-16,482233.44,270.6136,0,907
2013-03-17,513439.6,288.1255,0,869
2013-03-18,330283.8,185.34445,0,879
2013-03-19,294020.25,164.99452,0,878
2013-03-20,321207.0,180.25084,0,892
2013-03-21,269130.12,151.02701,0,879
2013-03-22,304100.47,170.65121,0,891
2013-03-23,453192.0,254.3165,0,915
2013-03-24,449794.62,252.41,0,864
2013-03-25,317559.62,178.20406,0,880
2013-03-26,275818.25,154.78017,0,887
2013-03-27,313691.16,176.0332,0,880
2013-03-28,339293.28,190.40027,0,895
2013-03-29,345513.12,193.89064,0,898
2013-03-30,452661.34,254.0187,0,908
2013-03-31,462107.62,259.31964,0,870
2013-04-01,428816.44,240.63773,0,887
2013-04-02,377732.8,211.97127,0,904
2013-04-03,373731.06,209.72563,0,900
2013-04-04,308738.38,173.25386,0,881
2013-04-05,336394.78,188.77373,0,887
2013-04-06,509424.22,285.87216,0,909
2013-04-07,519048.38,291.27295,0,861
2013-04-08,346649.8,194.52852,0,888
2013-04-09,306335.8,171.90562,0,893
2013-04-10,312846.38,175.55913,0,886
2013-04-11,303223.4,170.15904,0,878
2013-04-12,314394.97,176.42815,0,895
2013-04-13,453442.5,254.45708,0,913
2013-04-14,478417.16,268.47202,0,866
2013-04-15,338712.47,190.07434,0,891
2013-04-16,333431.88,187.11104,0,882
2013-04-17,334990.53,187.9857,0,887
2013-04-18,281924.5,158.20679,0,880
2013-04-19,311588.72,174.85338,0,888
2013-04-20,459884.84,258.0723,0,912
2013-04-21,485721.03,272.57074,0,863
2013-04-22,328886.3,184.56023,0,882
2013-04-23,302097.84,169.5274,0,887
2013-04-24,310555.2,174.27339,0,879
2013-04-25,268790.62,150.83649,0,871
2013-04-26,304413.56,170.82692,0,882
2013-04-27,446665.34,250.65395,0,897
2013-04-28,477623.47,268.02664,0,859
2013-04-29,328795.88,184.50948,0,894
2013-04-30,310186.47,174.06648,0,900
2013-05-01,507974.62,285.05872,0,913
2013-05-02,348709.47,195.68433,0,890
2013-05-03,374291.25,210.03998,0,894
2013-05-04,520339.53,291.9975,0,911
2013-05-05,580268.56,325.6277,0,868
2013-05-06,369869.38,207.55858,0,893
2013-05-07,317292.97,178.05441,0,883
2013-05-08,332477.4,186.57542,0,882
2013-05-09,305868.06,171.64313,0,904
2013-05-10,335937.44,188.51707,0,903
2013-05-11,512090.6,287.36847,0,939
2013-05-12,387860.5,217.6546,0,867
2013-05-13,350598.06,196.74414,0,903
2013-05-14,308469.3,173.10287,0,905
2013-05-15,329113.56,184.68774,0,900
2013-05-16,307556.94,172.59088,0,894
2013-05-17,330004.25,185.18758,0,898
2013-05-18,480969.56,269.90436,0,928
2013-05-19,518153.56,290.7708,0,888
2013-05-20,341787.22,191.79979,0,900
2013-05-21,307178.4,172.37845,0,894
2013-05-22,301785.47,169.35211,0,913
2013-05-23,289261.06,162.32382,0,908
2013-05-24,398389.25,223.56299,0,920
2013-05-25,417930.16,234.5287,0,926
2013-05-26,450631.4,252.87958,0,878
2013-05-27,321630.84,180.4887,0,882
2013-05-28,307329.16,172.46304,0,897
2013-05-29,309333.38,173.58775,0,891
2013-05-30,304344.84,170.78835,0,905
2013-05-31,330257.84,185.32988,0,906
2013-06-01,566901.8,318.1267,0,918
2013-06-02,637698.5,357.8555,0,884
2013-06-03,426332.1,239.2436,0,911
2013-06-04,369705.16,207.46642,0,909
2013-06-05,361791.1,203.0253,0,915
2013-06-06,317496.75,178.16878,0,911
2013-06-07,357673.1,200.71442,0,904
2013-06-08,466292.7,261.66818,0,925
2013-06-09,526804.75,295.62555,0,890
2013-06-10,349754.28,196.27065,0,904
2013-06-11,283858.22,159.29193,0,893
2013-06-12,320173.56,179.67091,0,910
2013-06-13,282886.9,158.74686,0,899
2013-06-14,326956.75,183.47742,0,908
2013-06-15,505950.66,283.9229,0,931
2013-06-16,435894.1,244.60948,0,874
2013-06-17,370944.28,208.16177,0,889
2013-06-18,320885.34,180.07034,0,903
2013-06-19,319235.25,179.14436,0,902
2013-06-20,293877.94,164.91467,0,900
2013-06-21,319722.7,179.4179,0,888
2013-06-22,446347.3,250.47548,0,933
2013-06-23,504964.84,283.36972,0,877
2013-06-24,336631.97,188.90683,0,908
2013-06-25,305119.53,171.22308,0,886
2013-06-26,301847.25,169.38678,0,895
2013-06-27,266525.47,149.56535,0,894
2013-06-28,324210.97,181.93657,0,900
2013-06-29,509379.1,285.84686,0,925
2013-06-30,533481.7,299.37244,0,878
2013-07-01,441758.38,247.90033,0,908
2013-07-02,390958.38,219.39302,0,899
2013-07-03,374551.9,210.18625,0,898
2013-07-04,327020.2,183.51302,0,898
2013-07-05,351401.5,197.195,0,900
2013-07-06,479514.5,269.08783,0,932
2013-07-07,500606.06,280.9237,0,875
2013-07-08,365453.0,205.08025,0,877
2013-07-09,317279.16,178.04666,0,874
2013-07-10,314134.88,176.2822,0,884
2013-07-11,281750.94,158.10939,0,875
2013-07-12,308786.44,173.28082,0,876
2013-07-13,432569.1,242.7436,0,896
2013-07-14,438722.4,246.19664,0,840
2013-07-15,348803.03,195.73683,0,863
2013-07-16,335516.22,188.2807,0,873
2013-07-17,324313.8,181.99428,0,875
2013-07-18,287074.88,161.09702,0,875
2013-07-19,313332.56,175.83197,0,874
2013-07-20,435497.72,244.38705,0,898
2013-07-21,437952.62,245.76466,0,853
2013-07-22,342802.3,192.36943,0,871
2013-07-23,316257.47,177.47333,0,870
2013-07-24,309243.78,173.53748,0,867
2013-07-25,298074.22,167.26949,0,878
2013-07-26,318745.7,178.86963,0,873
2013-07-27,423890.5,237.87346,0,887
2013-07-28,433358.66,243.18668,0,849
2013-07-29,331493.28,186.02316,0,874
2013-07-30,318554.0,178.76207,0,864
2013-07-31,357982.97,200.8883,0,896
2013-08-01,397555.3,223.09502,0,903
2013-08-02,393831.12,221.00513,0,897
2013-08-03,516956.84,290.09924,0,911
2013-08-04,514267.28,288.58994,0,866
2013-08-05,407033.8,228.41403,0,891
2013-08-06,357263.84,200.48476,0,889
2013-08-07,351302.12,197.13924,0,890
2013-08-08,310953.03,174.49664,0,891
2013-08-09,337521.66,189.4061,0,887
2013-08-10,434184.94,243.65036,0,914
2013-08-11,434720.3,243.95079,0,872
2013-08-12,349539.22,196.14995,0,895
2013-08-13,317103.34,177.948,0,892
2013-08-14,324377.38,182.02995,0,894
2013-08-15,311043.16,174.54723,0,893
2013-08-16,364487.3,204.53833,0,901
2013-08-17,448835.3,251.87167,0,923
2013-08-18,464053.78,260.41177,0,861
2013-08-19,362085.53,203.19054,0,892
2013-08-20,343046.12,192.50624,0,894
2013-08-21,335724.66,188.39767,0,898
2013-08-22,306473.25,171.98274,0,886
2013-08-23,331906.38,186.25497,0,899
2013-08-24,420576.16,236.01355,0,916
2013-08-25,443694.1,248.98659,0,865
2013-08-26,347159.66,194.81462,0,886
2013-08-27,319688.22,179.39854,0,883
2013-08-28,319322.06,179.19307,0,885
2013-08-29,294518.7,165.27423,0,890
2013-08-30,354932.94,199.17673,0,888
2013-08-31,523631.38,293.84476,0,920
2013-09-01,640406.25,359.375,0,867
2013-09-02,458792.97,257.45956,0,887
2013-09-03,397680.4,223.1652,0,907
2013-09-04,392565.5,220.29489,0,900
2013-09-05,330622.78,185.53467,0,895
2013-09-06,335442.25,188.2392,0,893
2013-09-07,518584.25,291.01248,0,924
2013-09-08,560852.0,314.73175,0,863
2013-09-09,377151.72,211.64519,0,887
2013-09-10,308074.47,172.8813,0,882
2013-09-11,323124.62,181.32695,0,894
2013-09-12,282855.72,158.72935,0,875
2013-09-13,319556.94,179.32487,0,893
2013-09-14,476364.0,267.31985,0,922
2013-09-15,532852.94,299.0196,0,867
2013-09-16,373229.84,209.44435,0,898
2013-09-17,327282.94,183.66046,0,876
2013-09-18,315687.72,177.1536,0,886
2013-09-19,279580.38,156.89134,0,877
2013-09-20,331846.9,186.2216,0,891
2013-09-21,468298.38,262.7937,0,912
2013-09-22,502068.7,281.7445,0,869
2013-09-23,356043.03,199.79968,0,894
2013-09-24,303333.4,170.22076,0,891
2013-09-25,312490.1,175.3592,0,893
2013-09-26,273057.88,153.23112,0,891
2013-09-27,320246.56,179.71187,0,898
2013-09-28,484903.7,272.11206,0,918
2013-09-29,522868.44,293.41663,0,875
2013-09-30,367068.44,205.98677,0,894
2013-10-01,436441.03,244.9164,0,908
2013-10-02,414455.66,232.57893,0,901
2013-10-03,348933.25,195.8099,0,901
2013-10-04,378109.97,212.18292,0,903
2013-10-05,540156.6,303.1182,0,912
2013-10-06,553031.44,310.3431,0,878
2013-10-07,373387.1,209.5326,0,878
2013-10-08,326726.72,183.34833,0,883
2013-10-09,322529.4,180.99294,0,887
2013-10-10,305047.1,171.18243,0,890
2013-10-11,402913.84,226.10205,0,910
2013-10-12,426379.7,239.27031,0,911
2013-10-13,481781.25,270.35986,0,863
2013-10-14,342694.72,192.30905,0,885
2013-10-15,305242.56,171.29213,0,885
2013-10-16,355696.97,199.60548,0,898
2013-10-17,312949.4,175.61694,0,888
2013-10-18,323327.88,181.44101,0,895
2013-10-19,488245.56,273.9874,0,920
2013-10-20,537713.5,301.7472,0,873
2013-10-21,348721.3,195.69098,0,890
2013-10-22,301641.78,169.27148,0,890
2013-10-23,323105.12,181.31601,0,881
2013-10-24,276059.1,154.91531,0,878
2013-10-25,317570.44,178.21013,0,893
2013-10-26,452902.38,254.15398,0,913
2013-10-27,512891.5,287.8179,0,860
2013-10-28,346941.9,194.69243,0,875
2013-10-29,302333.0,169.65938,0,878
2013-10-30,319494.72,179.28996,0,889
2013-10-31,298195.44,167.33751,0,895
2013-11-01,403637.22,226.50798,0,916
2013-11-02,540615.56,303.37573,0,931
2013-11-03,602796.56,338.26968,0,877
2013-11-04,424314.16,238.1112,0,890
2013-11-05,393322.2,220.71953,0,894
2013-11-06,386426.97,216.85014,0,899
2013-11-07,346293.34,194.32848,0,897
2013-11-08,358473.97,201.16385,0,909
2013-11-09,513850.3,288.35596,0,915
2013-11-10,587666.5,329.77917,0,891
2013-11-11,374087.9,209.92587,0,889
2013-11-12,373277.75,209.47124,0,881
2013-11-13,332279.25,186.46422,0,897
2013-11-14,284567.4,159.6899,0,894
2013-11-15,349383.28,196.06245,0,889
2013-11-16,524065.6,294.08844,0,927
2013-11-17,579209.25,325.03326,0,874
2013-11-18,391945.56,219.947,0,890
2013-11-19,329455.28,184.8795,0,893
2013-11-20,354337.72,198.84271,0,897
2013-11-21,298047.06,167.25424,0,884
2013-11-22,340734.22,191.20888,0,897
2013-11-23,485544.3,272.47156,0,922
2013-11-24,550925.3,309.16122,0,882
2013-11-25,365965.5,205.36784,0,896
2013-11-26,323292.84,181.42136,0,892
2013-11-27,337083.28,189.1601,0,895
2013-11-28,305982.97,171.70761,0,900
2013-11-29,357000.4,200.33693,0,911
2013-11-30,541977.7,304.1401,0,935
2013-12-01,698217.1,391.81656,0,879
2013-12-02,495488.38,278.05185,0,906
2013-12-03,424438.03,238.18071,0,911
2013-12-04,424147.03,238.01741,0,905
2013-12-05,386406.8,216.83884,0,907
2013-12-06,432661.75,242.7956,0,907
2013-12-07,537181.3,301.44855,0,932
2013-12-08,588855.9,330.44662,0,873
2013-12-09,442309.3,248.20949,0,902
2013-12-10,414421.7,232.55988,0,889
2013-12-11,422957.2,237.34972,0,891
2013-12-12,384256.1,215.63193,0,895
2013-12-13,434657.0,243.91527,0,893
2013-12-14,554911.94,311.3984,0,924
2013-12-15,642015.75,360.2782,0,875
2013-12-16,516060.28,289.59613,0,904
2013-12-17,480470.72,269.62442,0,907
2013-12-18,527481.3,296.00522,0,905
2013-12-19,507461.03,284.7705,0,908
2013-12-20,544104.25,305.33347,0,907
2013-12-21,685673.06,384.77725,0,917
2013-12-22,696295.1,390.738,0,882
2013-12-23,792865.3,444.93002,0,930
2013-12-24,620663.3,348.2959,0,906
2013-12-26,470731.16,264.1589,0,928
2013-12-27,479314.97,268.97586,0,918
2013-12-28,556952.3,312.5434,0,926
2013-12-29,499719.5,280.4262,0,872
2013-12-30,635134.75,356.4168,0,934
2013-12-31,507264.66,284.6603,0,912
2014-01-01,8602.065,4.827197,0,50
2014-01-02,801011.25,449.50125,0,1274
2014-01-03,680672.9,381.9713,0,1249
2014-01-04,936628.9,525.6054,0,1299
2014-01-05,949618.8,532.89496,0,1236
2014-01-06,602268.56,337.9734,0,1269
2014-01-07,563450.6,316.19003,0,1265
2014-01-08,636176.9,357.00162,0,1258
2014-01-09,496377.94,278.55103,0,1250
2014-01-10,543055.3,304.74484,0,1243
2014-01-11,787321.44,441.819,0,1296
2014-01-12,844633.6,473.9807,0,1241
2014-01-13,555547.0,311.75476,0,1263
2014-01-14,502643.1,282.06683,0,1252
2014-01-15,567067.5,318.2197,0,1263
2014-01-16,502789.22,282.14883,0,1257
2014-01-17,542937.94,304.679,0,1246
2014-01-18,786779.9,441.51508,0,1280
2014-01-19,851735.3,477.96594,0,1238
2014-01-20,575850.06,323.1482,0,1261
2014-01-21,538817.2,302.36655,0,1259
2014-01-22,553097.6,310.38025,0,1256
2014-01-23,460789.03,258.5797,0,1252
2014-01-24,526124.56,295.24387,0,1275
2014-01-25,733881.0,411.82996,0,1305
2014-01-26,814057.75,456.82254,0,1260
2014-01-27,540798.8,303.47858,0,1285
2014-01-28,481593.44,270.25446,0,1287
2014-01-29,512854.0,287.79684,0,1256
2014-01-30,453642.97,254.56956,0,1265
2014-01-31,560816.2,314.71167,0,1283
2014-02-01,648870.2,364.1247,0,939
2014-02-02,619805.56,347.81458,0,900
2014-02-03,461637.53,259.05585,0,915
2014-02-04,403189.6,226.25679,0,919
2014-02-05,399138.3,223.98334,0,909
2014-02-06,359139.1,201.5371,0,909
2014-02-07,389471.56,218.55867,0,909
2014-02-08,530128.06,297.4905,0,930
2014-02-09,520753.75,292.22995,0,871
2014-02-10,396622.75,222.57169,0,908
2014-02-11,358382.72,201.11264,0,900
2014-02-12,387758.4,217.5973,0,906
2014-02-13,347373.3,194.93452,0,895
2014-02-14,361206.4,202.6972,0,899
2014-02-15,538893.4,302.4093,0,934
2014-02-16,595300.25,334.063,0,879
2014-02-17,412029.28,231.21733,0,908
2014-02-18,365331.25,205.01193,0,910
2014-02-19,360161.62,202.1109,0,908
2014-02-20,322451.9,180.94945,0,904
2014-02-21,369403.66,207.29723,0,862
2014-02-22,538206.06,302.0236,0,882
2014-02-23,487896.47,273.7915,0,871
2014-02-24,404224.2,226.83737,0,899
2014-02-25,351418.12,197.20433,0,898
2014-02-26,353604.28,198.43114,0,893
2014-02-27,330330.2,185.37047,0,905
2014-02-28,425624.78,238.84668,0,910
2014-03-01,911360.25,511.4255,0,1325
2014-03-02,667413.06,374.53033,0,1293
2014-03-03,613973.0,344.54153,0,1279
2014-03-04,748930.9,420.27545,0,1247
2014-03-05,741756.44,416.2494,0,1278
2014-03-06,614082.44,344.60294,0,1268
2014-03-07,598242.3,335.714,0,1274
2014-03-08,753345.25,422.75266,0,1294
2014-03-09,916117.6,514.0952,0,1239
2014-03-10,587414.8,329.63794,0,1273
2014-03-11,539365.4,302.67416,0,1270
2014-03-12,575676.8,323.05096,0,1278
2014-03-13,473298.03,265.59933,0,1269
2014-03-14,530515.25,297.70776,0,1269
2014-03-15,731049.8,410.2412,0,1302
2014-03-16,929808.5,521.7781,0,1261
2014-03-17,612719.5,343.8381,0,1275
2014-03-18,537427.9,301.5869,0,1270
2014-03-19,585974.7,328.8298,0,1268
2014-03-20,500897.12,281.08704,0,1281
2014-03-21,548811.5,307.97504,0,1274
2014-03-22,771704.94,433.0555,0,1302
2014-03-23,838814.6,470.71527,0,1250
2014-03-24,571762.06,320.85413,0,1262
2014-03-25,539861.6,302.95264,0,1282
2014-03-26,569680.56,319.68607,0,1274
2014-03-27,468581.4,262.9525,0,1275
2014-03-28,538905.8,302.4163,0,1273
2014-03-29,822333.1,461.4664,0,1300
2014-03-30,873958.8,490.43704,0,1252
2014-03-31,651800.5,365.76907,0,1285
2014-04-01,485079.88,272.21094,8,896
2014-04-02,463917.3,260.3352,4,900
2014-04-03,388867.97,218.21996,120,901
2014-04-04,422578.75,237.13734,5,889
2014-04-05,617680.2,346.6219,7,920
2014-04-06,631888.25,354.59497,7,871
2014-04-07,426091.1,239.10835,3,889
2014-04-08,376663.28,211.3711,8,901
2014-04-09,375309.1,210.61116,4,885
2014-04-10,334052.75,187.45946,119,895
2014-04-11,379646.84,213.04536,14,893
2014-04-12,529919.94,297.3737,10,912
2014-04-13,540190.3,303.1371,16,865
2014-04-14,381386.3,214.0215,8,867
2014-04-15,364689.06,204.65155,45,877
2014-04-16,411357.1,230.84012,45,887
2014-04-17,397464.84,223.04425,455,893
2014-04-18,394392.2,221.31998,37,898
2014-04-19,496904.75,278.84665,36,903
2014-04-20,520126.4,291.8779,56,851
2014-04-21,398677.4,223.7247,28,883
2014-04-22,370552.25,207.94177,49,877
2014-04-23,372232.6,208.88474,58,883
2014-04-24,320875.47,180.0648,460,875
2014-04-25,357173.72,200.43419,22,875
2014-04-26,497334.75,279.08795,39,894
2014-04-27,560508.44,314.53897,52,849
2014-04-28,362271.9,203.29512,65,860
2014-04-29,326338.34,183.13039,73,875
2014-04-30,357079.97,200.38158,86,874
2014-05-01,530380.9,297.63235,547,878
2014-05-02,443284.9,248.75696,215,873
2014-05-03,610391.75,342.53186,72,891
2014-05-04,646164.9,362.60654,58,839
2014-05-05,427601.72,239.95607,67,876
2014-05-06,388945.88,218.26367,84,871
2014-05-07,391932.2,219.9395,71,872
2014-05-08,337483.72,189.3848,472,864
2014-05-09,381335.2,213.99281,218,875
2014-05-10,577012.0,323.80023,61,901
2014-05-11,454512.94,255.05777,59,843
2014-05-12,398251.88,223.4859,61,868
2014-05-13,360734.53,202.4324,65,868
2014-05-14,356373.8,199.9853,151,854
2014-05-15,332272.84,186.46063,534,862
2014-05-16,380822.75,213.70525,1188,880
2014-05-17,537873.94,301.83722,129,888
2014-05-18,634519.75,356.0717,139,854
2014-05-19,388814.75,218.1901,110,859
2014-05-20,354372.34,198.86215,157,868
2014-05-21,356898.47,200.27972,191,869
2014-05-22,310660.16,174.3323,1561,860
2014-05-23,349549.9,196.15594,1274,868
2014-05-24,516627.25,289.91428,220,901
2014-05-25,573412.2,321.78012,218,847
2014-05-26,373831.1,209.78175,188,857
2014-05-27,327642.16,183.86205,196,864
2014-05-28,338481.78,189.94489,192,861
2014-05-29,326624.56,183.291,1586,878
2014-05-30,375782.62,210.87689,1224,893
2014-05-31,597192.44,335.12482,267,918
2014-06-01,742732.8,416.7973,123,883
2014-06-02,512725.78,287.7249,195,902
2014-06-03,443636.2,248.95409,213,897
2014-06-04,423284.5,237.53339,236,896
2014-06-05,359474.5,201.72531,1616,890
2014-06-06,391266.12,219.56572,1264,892
2014-06-07,557142.44,312.6501,197,917
2014-06-08,626026.94,351.3058,215,870
2014-06-09,415798.94,233.33273,199,898
2014-06-10,351689.44,197.35658,199,882
2014-06-11,373828.16,209.7801,258,893
2014-06-12,329408.06,184.85301,1979,884
2014-06-13,392308.38,220.1506,1335,887
2014-06-14,622073.0,349.08698,278,905
2014-06-15,441279.94,247.63184,250,852
2014-06-16,447450.25,251.09442,338,882
2014-06-17,380396.03,213.46579,380,881
2014-06-18,373408.66,209.5447,425,885
2014-06-19,332280.94,186.46518,2359,884
2014-06-20,369206.78,207.18675,1933,879
2014-06-21,538613.9,302.25244,308,909
2014-06-22,591184.1,331.75314,360,866
2014-06-23,414929.62,232.84491,237,873
2014-06-24,340464.75,191.05766,266,881
2014-06-25,355342.4,199.40651,354,875
2014-06-26,315798.2,177.21559,2168,880
2014-06-27,370793.56,208.0772,2732,888
2014-06-28,510870.8,286.68396,425,927
2014-06-29,567218.9,318.30466,302,869
2014-06-30,429324.06,240.92259,352,881
2014-07-01,720480.6,404.31012,2320,1278
2014-07-02,747430.1,419.4333,4310,1278
2014-07-03,583844.75,327.63455,2383,1276
2014-07-04,595424.3,334.1326,4056,1272
2014-07-05,817307.1,458.64597,610,1296
2014-07-06,918276.6,515.30676,583,1248
2014-07-07,638526.44,358.3201,492,1275
2014-07-08,557291.5,312.73373,2183,1268
2014-07-09,574451.44,322.3633,4281,1268
2014-07-10,498047.56,279.48798,2465,1273
2014-07-11,535644.2,300.58597,4057,1252
2014-07-12,756698.75,424.63455,568,1288
2014-07-13,733653.75,411.70245,720,1246
2014-07-14,584867.1,328.20825,617,1266
2014-07-15,562860.0,315.85858,2329,1266
2014-07-16,621336.5,348.67368,4446,1280
2014-07-17,498221.72,279.5857,2416,1264
2014-07-18,547619.06,307.30588,4275,1269
2014-07-19,728988.25,409.08432,759,1304
2014-07-20,776474.1,435.73184,636,1248
2014-07-21,600228.44,336.82852,592,1271
2014-07-22,530276.06,297.57355,2287,1274
2014-07-23,574168.6,322.20462,4459,1259
2014-07-24,484618.8,271.9522,2425,1280
2014-07-25,579767.3,325.3464,4395,1304
2014-07-26,688919.56,386.5991,673,1312
2014-07-27,747307.9,419.3647,605,1279
2014-07-28,583936.7,327.68613,557,1290
2014-07-29,524743.3,294.46875,2207,1286
2014-07-30,578056.94,324.3866,4640,1292
2014-07-31,532423.56,298.77866,2319,1298
2014-08-01,506826.78,284.41458,4407,931
2014-08-02,626533.6,351.59015,506,933
2014-08-03,625898.2,351.23355,453,888
2014-08-04,471173.3,264.407,402,907
2014-08-05,417197.47,234.11755,395,908
2014-08-06,402914.38,226.10234,515,899
2014-08-07,359701.53,201.8527,2310,901
2014-08-08,397759.94,223.20984,4308,897
2014-08-09,496192.78,278.4471,574,916
2014-08-10,509681.75,286.0167,612,863
2014-08-11,409544.56,229.82298,530,896
2014-08-12,353898.22,198.59608,488,885
2014-08-13,372116.53,208.8196,623,891
2014-08-14,340740.8,191.21257,2331,890
2014-08-15,402631.84,225.9438,4456,901
2014-08-16,533996.1,299.66113,578,916
2014-08-17,564443.2,316.747,559,885
2014-08-18,433042.3,243.00916,514,904
2014-08-19,379329.94,212.86752,512,905
2014-08-20,398126.78,223.4157,582,914
